Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Published Scope,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Fulfillment Service,SEO Title,SEO Description,Smart Collections,Metafield: divine.product_notes [single_line_text_field]
red-roses-black-tea,MERGE,Red Roses Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Red Roses Black Tea,,Black Tea; All Teas,
relax-hemp-tea,MERGE,Relax Hemp Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Wind down, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Relax Hemp Tea,,Wind down; Hemp Tea; All Teas,
roots-and-chai-wellness-tea,MERGE,Roots and Chai Wellness Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Gut Reset",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Roots and Chai Wellness Tea,,Gut Reset; All Teas,
serenity-wellness-tea,MERGE,Serenity Wellness Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Wind down",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Serenity Wellness Tea,,Wind down; All Teas,
sweetened-matcha-green-tea,MERGE,Sweetened Matcha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Matcha",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Sweetened Matcha Green Tea,,Matcha; All Teas,
think-hemp-tea,MERGE,Think Hemp Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Think Hemp Tea,,Focus and Energy; Hemp Tea; All Teas,
tropical-sunshine-green-tea,MERGE,Tropical Sunshine Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Tropical Sunshine Green Tea,,Green Tea; All Teas,
tulsi-chai,MERGE,Tulsi Chai,,Divine Ingredients,Tea,"Category_Tea, Founders_Favourite, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Tulsi Chai,,Chai; All Teas; Founders' Favourites,
turmeric-tea,MERGE,Turmeric Tea,,Divine Ingredients,Tea,Founders_Favourite,MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Turmeric Tea,,Founders' Favourites,
ube-matcha-tea,MERGE,Ube Matcha Tea,,Divine Ingredients,Tea,"Category_Tea, Founders_Favourite, Type_Matcha",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Ube Matcha Tea,,Matcha; All Teas; Founders' Favourites,
wine-berry-herbal-tea,MERGE,Wine Berry Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Detox, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Wine Berry Herbal Tea,,Detox; Herbal Tea; All Teas,
wine-berry-iced-tea,MERGE,Wine Berry Iced Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Iced Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Wine Berry Iced Tea,,Iced Tea; All Teas,
