"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/16003382542511","ST.Jasmiea1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Jasmiea1.jpg?v=1750439433","Chinese Jasmine Green Tea","2020-12-01 05:34:43 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003383066799","ST.Kukicen1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Kukicen1.jpg?v=1750439432","Japanese Kukicha Green Tea","2020-12-01 05:34:45 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003384148143","GT.Peachgo1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Peachgo1.jpg?v=1750439430","Peach Mango Tango Green Tea","2020-12-01 05:34:47 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003385327791","GT.Rainbn_201.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Rainbn_201.jpg?v=1750439429","Rainbow Rain Green Tea","2020-12-01 05:34:50 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003388113071","GT.Tropine1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Tropine1.jpg?v=1750439424","Tropical Sunshine Green Tea","2020-12-01 05:34:58 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003392077999","HT.Berryod1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Berryod1.jpg?v=1750439422","Wine Berry Herbal Tea","2020-12-01 05:35:03 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003394338991","HT.Chamore1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Chamore1.jpg?v=1750439420","Chamomile Care Herbal Tea","2020-12-01 05:35:06 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003395748015","HT.Cinnast1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Cinnast1.jpg?v=1750439419","Cinnamon Vanilla Zest Herbal Tea","2020-12-01 05:35:09 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003398500527","HT.Hibisch1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Hibisch1.jpg?v=1750439416","Hibiscus Punch Herbal Tea","2020-12-01 05:35:15 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003402727599","HT.Organic1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Organic1.jpg?v=1750439412","Organic Turmeric Herbal Tea","2020-12-01 05:35:24 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003405906095","HT.Passiot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Passiot1.jpg?v=1750439411","Tropical Passion Herbal Tea","2020-12-01 05:35:27 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003409576111","HT.Yellot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Yellot1.jpg?v=1750439409","Yellow Mellow Mint Herbal Tea","2020-12-01 05:35:33 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003411214511","IT.Divines1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IT.Divines1.jpg?v=1750439408","Divine Ruby Red Iced Tea","2020-12-01 05:35:36 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003416195247","IT.Passiry1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IT.Passiry1.jpg?v=1750439403","Passion Berry Iced Tea","2020-12-01 05:35:43 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003418620079","OT.Citrung1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/OT.Citrung1.jpg?v=1750439401","Lemon Green Oolong Tea","2020-12-01 05:35:46 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003420618927","OT.Goldeg_201.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/OT.Goldeg_201.jpg?v=1750439400","Golden Pineapple Oolong Tea","2020-12-01 05:35:48 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003422355631","OT.Peachng1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/OT.Peachng1.jpg?v=1750439397","Peach Oolong Tea","2020-12-01 05:35:51 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003423568047","SP._20Anisar1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Anisar1.jpg?v=1750439395","Organic Anise Star Spice","2020-12-01 05:35:54 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003424583855","SP._20Blacer1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Blacer1.jpg?v=1750439393","Organic Black Pepper Spice","2020-12-01 05:35:57 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003425271983","SP._20Cardom1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Cardom1.jpg?v=1750439391","Organic Cardamom Spice","2020-12-01 05:35:59 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003426255023","SP._20Cinnon1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Cinnon1.jpg?v=1750439390","Organic Cinnamon Spice","2020-12-01 05:36:01 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003427369135","SP._20Cloves1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Cloves1.jpg?v=1750439389","Organic Cloves Spice","2020-12-01 05:36:03 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003429400751","SP._20Cocols1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Cocols1.jpg?v=1750439387","Organic Cocoa Shells Spice","2020-12-01 05:36:05 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003431891119","SP._20Fennel1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Fennel1.jpg?v=1750439386","Organic Fennel Spice","2020-12-01 05:36:09 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003432480943","SP._20Ginger1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Ginger1.jpg?v=1750439385","Organic Ginger Spice","2020-12-01 05:36:11 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003433300143","SP._20Licoce1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Licoce1.jpg?v=1750439384","Organic Licorice Spice","2020-12-01 05:36:14 -0800","IMAGE","image/jpeg","4651","3101","","Ready",""
"gid://shopify/MediaImage/16003434021039","SP._20Nutmeg1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Nutmeg1.jpg?v=1750439382","Organic Nutmeg Spice","2020-12-01 05:36:16 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003435528367","SP._20Turmic1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SP._20Turmic1.jpg?v=1750439381","Organic Turmeric Spice","2020-12-01 05:36:18 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003437199535","WT.Ginges_201.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Ginges_201.jpg?v=1750439380","Lemon Ginger Circus Wellness Tea","2020-12-01 05:36:21 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003438379183","WT.Gingess1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Gingess1.jpg?v=1750439379","Ginger Turmeric Lemongrass Wellness Tea","2020-12-01 05:36:24 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003440312495","WT.Mangosi1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Mangosi1.jpg?v=1750439377","Mango Turmeric Tulsi Wellness Tea","2020-12-01 05:36:26 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16003441918127","WT.Rootsai1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Rootsai1.jpg?v=1750439376","Roots and Chai Wellness Tea","2020-12-01 05:36:28 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003443327151","WT.Sereny1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Sereny1.jpg?v=1750439375","Serenity Wellness Tea","2020-12-01 05:36:32 -0800","IMAGE","image/jpeg","5184","3456","","Ready",""
"gid://shopify/MediaImage/16269359382703","ST.Assamaf1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Assamaf1.jpg?v=1750439466","Organic Assam Black Tea","2020-12-07 17:14:54 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
